Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DERM,Journey Medical Corporation,$8.05,,,$187.53M,US,,48331,Healthcare,Drug Manufacturers - Specialty & Generic
MISFX,Matthews Emerging Markets Sust Fut Inst,$12.41,,,$187.43M,US,,,Financial Services,Asset Management
MASGX,Matthews Emerging Markets Sustainable Future Fund,$12.39,,,$187.43M,US,,,Financial Services,Asset Management
RIVBX,Riverbridge Growth Fund,$34.94,,,$187.28M,US,,,Financial Services,Asset Management
RIVRX,Riverbridge Growth Fund - Investor Class,$33.82,,,$187.28M,US,,,Financial Services,Asset Management
FLATX,Fidelity Latin America Fund,$16.64,,,$187.24M,US,,,Financial Services,Asset Management
SCUVX,Hartford Schroders US Small Cap Opportunities Fund Class A,$26.46,,,$186.93M,US,,,Financial Services,Asset Management
HOOSX,Hartford Schroders US Small Cap Opportunities Fund Class R4,$28.05,,,$186.93M,US,,,Financial Services,Asset Management
SCUIX,Hartford Schroders US Small Cap Opportunities Fund,$28.52,,,$186.93M,US,,,Financial Services,Asset Management
SCURX,Hartford Schroders US Small Cap Opportunities Fund Class SDR,$28.71,,,$186.93M,US,,,Financial Services,Asset Management
SIHPX,Guggenheim High Yield P,$9.94,,,$186.66M,US,,,Financial Services,Asset Management
ELDN,"Eledon Pharmaceuticals, Inc.",$3.11,,,$186.23M,US,,67127,Healthcare,Biotechnology
ESSA,"ESSA Bancorp, Inc.",$18.33,,,$186.14M,US,,4376,Financial Services,Banks - Regional
OMER,Omeros Corporation,$3.175,,,$186.03M,US,,237923,Healthcare,Biotechnology
VYGR,"Voyager Therapeutics, Inc.",$3.361,,,$185.99M,US,,2642652,Healthcare,Biotechnology
AMCI,AMCI Acquisition Corp. II,$9.91,,,$185.81M,US,,362919,Financial Services,Shell Companies
TPIAX,Timothy Plan International Fund,$14.13,,,$185.65M,US,,,Financial Services,Asset Management
GMSAX,Goldman Sachs Managed Futures Strategy Fund,$8.14,,,$185.56M,US,,,Financial Services,Asset Management
GFIRX,Goldman Sachs Managed Futures Strategy Fund,$8.4,,,$185.56M,US,,,Financial Services,Asset Management
BBQ,"BBQ Holdings, Inc.",$17.24,,,$185.50M,US,,14040,Consumer Cyclical,Restaurants
GRPH,"Graphite Bio, Inc.",$3.18,,,$185.19M,US,,299406,Healthcare,Biotechnology
MPAIX,Morgan Stanley Insti Fd Advantage Portfolio Cl I,$26.95,,,$184.87M,US,,,,
MAPPX,MSIF Advantage Portfolio Class A,$25.36,,,$184.84M,US,,,,
IMANX,Dow Jones Islamic Fund Class K,$15.76,,,$184.70M,US,,,Financial Services,Asset Management
ISTR,Investar Holding Corporation,$18.76,,,$184.69M,US,,11737,Financial Services,Banks - Regional
BSGM,"BioSig Technologies, Inc.",$6.76,,,$184.51M,US,,508394,Healthcare,Medical - Devices
ONDS,Ondas Holdings Inc.,$1.34,,,$184.15M,US,,15716626,Technology,Communication Equipment
FFXSX,Fidelity Limited Term Government Fund,$9.68,,,$183.92M,US,,,Financial Services,Asset Management
JMOIX,Janus Henderson Global Allocation Fund - Moderate - I Shares,$12.8,,,$183.84M,US,,,Financial Services,Asset Management - Global
JMOSX,Janus Henderson Global Allocation Fund - Moderate,$12.78,,,$183.84M,US,,,Financial Services,Asset Management - Global
JMOAX,Janus Henderson Global Allocation Fund - Moderate Class A,$12.71,,,$183.84M,US,,,Financial Services,Asset Management - Global
JSPMX,Janus Henderson Global Allocation Fund - Moderate - T Shares,$12.77,,,$183.84M,US,,,Financial Services,Asset Management - Global
LAKE,"Lakeland Industries, Inc.",$19.31,,,$183.66M,US,,13030,Consumer Cyclical,Apparel - Manufacturers
NTWO,Newbury Street II Acquisition Corp,$10.2,,,$183.58M,US,,2000,Financial Services,Shell Companies
CONX,CONX Corp.,$8.79,,,$183.45M,US,,7394,Financial Services,Shell Companies
KOD,Kodiak Sciences Inc.,$3.475,,,$183.35M,US,,194163,Healthcare,Biotechnology
FXNC,First National Corporation,$20.31,,,$182.52M,US,,3637,Financial Services,Banks - Regional
WAMCX,Wasatch Ultra Growth,$29.79,,,$182.45M,US,,,,
APIBX,Yorktown Short Term Bond Fund Class Institutional,$4.16,,,$182.16M,US,,,Financial Services,Asset Management - Bonds
WMMCX,TETON Westwood Mighty Mites Fund Class C,$11.46,,,$182.14M,US,,,Financial Services,Asset Management
WMMAX,TETON Westwood Mighty Mites Fund,$14.43,,,$182.14M,US,,,Financial Services,Asset Management
WEIMX,TETON Westwood Mighty Mites Class Institutional,$15.96,,,$182.14M,US,,,,
SREZX,PGIM Select Real Estate Fund Class Z,$13.42,,,$182.02M,US,,,Real Estate,Real Estate - General
FCCO,First Community Corporation,$23.67,,,$181.82M,US,,8424,Financial Services,Banks - Regional
THRX,"Theseus Pharmaceuticals, Inc.",$4.065,,,$181.50M,US,,677694,Healthcare,Biotechnology
INPIX,ProFunds Internet UltraSector Fund Investor Class,$56.51,,,$181.43M,US,,,Financial Services,Asset Management
DMAC,DiaMedica Therapeutics Inc.,$4.23,,,$181.40M,US,,22528,Healthcare,Biotechnology
EASCX,Eaton Vance South Carolina Municipal Income Fund,$8.3,,,$181.15M,US,,,Financial Services,Asset Management - Income
FEIM,"Frequency Electronics, Inc.",$18.715,,,$181.10M,US,,91891,Technology,Communication Equipment
LOGC,ContextLogic Inc.,$6.785,,,$181.04M,US,,2107957,Consumer Cyclical,Specialty Retail
OPBK,OP Bancorp,$12.19,,,$181.01M,US,,15802,Financial Services,Banks - Regional
FSFG,"First Savings Financial Group, Inc.",$26.15,,,$180.94M,US,,11274,Financial Services,Banks - Regional
TGUNX,TCW New America Premier Equities Fund - N Class,$30.95,,,$180.55M,US,,,Financial Services,Asset Management
SKGR,SK Growth Opportunities Corporation,$12.02,,,$179.98M,US,,162616,Financial Services,Shell Companies
GGGIX,The Gabelli Global Growth Fund Class I,$61.64,,,$179.49M,US,,,Financial Services,Asset Management - Global
GGGAX,Gabelli Global Growth Fund,$59.98,,,$179.49M,US,,,Financial Services,Asset Management - Global
BLYYX,American Beacon Bridgeway Large Cap Growth Fund,$32.98,,,$179.32M,US,,,Financial Services,Asset Management
WIORX,Wilshire Income Opportunities Invest,$9,,,$179.29M,US,,,Financial Services,Asset Management - Income
EVMBX,Eaton Vance AMT-Free Municipal Income I,$8.47,,,$179.18M,US,,,Financial Services,Asset Management - Income
LMST,"Limestone Bancorp, Inc.",$23.42,,,$178.68M,US,,1907,Financial Services,Banks - Regional
DALCX,Dean Mid Cap Value,$26.25,,,$178.45M,US,,,Financial Services,Asset Management
SPKL,Spark I Acquisition Corp. Class A Ordinary Share,$10.865,,,$178.43M,US,,30621,Financial Services,Shell Companies
DFDSX,DF Dent Small Cap Growth Fund,$23.15,,,$178.35M,US,,,Financial Services,Asset Management
FDMT,"4D Molecular Therapeutics, Inc.",$3.85,,,$178.35M,US,,152078,Healthcare,Biotechnology
UTMD,"Utah Medical Products, Inc.",$54.77,,,$177.90M,US,,3681,Healthcare,Medical - Instruments & Supplies
ESPR,"Esperion Therapeutics, Inc.",$0.8966,,,$177.71M,US,,3212531,Healthcare,Drug Manufacturers - Specialty & Generic
FHBZX,Fidelity Freedom Blend Income Fund,$10.04,,,$177.56M,US,,,Financial Services,Asset Management - Income
REPH,"Recro Pharma, Inc.",$2.09,,,$177.42M,US,,137536,Healthcare,Drug Manufacturers - Specialty & Generic
TBCUX,"Tweedy, Browne International Value Fund II - Currency Unhedged",$16.6,,,$177.40M,US,,,Financial Services,Asset Management
FLDOX,Meeder Moderate Allocation Retail,$12.23,,,$177.24M,US,,,Financial Services,Asset Management
USARW,USA Rare Earth Inc,$1.9501,,,$177.19M,US,,67522,Basic Materials,Industrial Materials
